recip_name,recip_id,donor_name,donor_id,sender_fname,sender_sname,sender_uname,sender_id,filter,black_list,and_list,or_list,format,title,status,user_id,uid
mesibot,-1002121937559,מסיבות אינטימיות בישראל,-1001179753797,,,,0,*,מחפש|מחפשת|*מסיבי*,,*מסיבה|*מסיבות|*מסיבת|להרשמה|*חגיג*,T D S M,,active,6981004507,1
mesibot,-1002121937559,מסיבות ליברליות בישראל,-1001268097297,,,,0,*,מחפש|מחפשת|*מסיבי*,,*מסיבה|*מסיבות|*מסיבת|להרשמה|*חגיג*,T D S M,,active,6981004507,2
mesibot,-1002121937559,הקליניקה - הערוץ הסודי,-1001406265474,,,,0,*,מחפש|*מסיבי*,,,T D S M,,active,6981004507,3
mesibot,-1002121937559,חילופי זוגות סוינגרס המועדון,-1001417032241,,,,0,*,מחפש|*מסיבי*,,*מסיבה|*מסיבות|*מסיבת|להרשמה|*חגיג*,T D S M,,,6981004507,4
mesibot,-1002121937559,חילופי זוגות סוינגרס המועדון,-1001417032241,,,,0,*,מחפש|*מסיבי*,,*מסיבה|*מסיבות|*מסיבת|להרשמה|*חגיג*,T D S M,,active,6981004507,5
mesibot,-1002121937559,סקס ישראלי,-1001833337028,,,,0,*,מחפש|*מסיבי*,,*מסיבה|*מסיבות|*מסיבת|להרשמה|*חגיג*,T D S M,,active,6981004507,6
rm news,-1002127590810,Rozetked,-1001007302005,,,,0,*,,,,T D S M,,active,6981004507,7
rm news,-1002127590810,в IT и выйти,-1001208526041,,,,0,*,,,,T D S M,,active,6981004507,8
rm news,-1002127590810,Новости Москвы / Молния,-1001978277959,,,,0,*,,,,T D S M,,active,6981004507,9
rm news,-1002127590810,lets look. just 4 test,-1001881924706,,,,0,*,реклам*,израиль+победит,новость|новости,T D S M,all for test,,6981004507,10
rm news,-1002127590810,lets look. just 4 test,-1001881924706,,,,0,*,מחפש|*מסיבי*,,,T D S M,"all messages, exclude реклам*",active,6981004507,11
rm news,-1002127590810,פייתון | עבודות,-1001222836462,,,,0,*,,,*מחפש*|מתכנ*,T D S M,,active,6981004507,12
rm news,-1002127590810,Python,-1001050982793,,,,0,*,,,,T D S M,,,6981004507,13
rm news,-1002127590810,python tip israel,-1001960012298,,,,0,*,,,,T D S M,,active,6981004507,14
rm news,-1002127590810,Профессиональный питонист,-1001643613129,,,,0,*,,,,T D S M,,active,6981004507,15
rm news,-1002127590810,פייתון בעברית,-1001254978284,,,,0,*,,,,T D S M,,active,6981004507,16
chats,-1002010111309,Пелливерт. Чат,-1001619569799,,,,0,*,,,,T D S M,,active,6981004507,17
chats,-1002010111309,Tel-Aviv Chat,-1001362548215,,,,0,*,21+|18+|удаленн*|заработок|сотрудничество|Поможем?oфoрмить,,,T D S M,,active,6981004507,18
chats,-1002010111309,9 канал чат,-1001919590230,,,,0,*,*aбирa*|дoхoд*|инвecтици*|удаленк*|пишите?мне,,,T D S M,,,6981004507,19
chats,-1002010111309,Migo chat,565542529,,,,0,*,,,,D M,,active,6981004507,20
rm trash bin,-1002110834043,,0,,,,0,,,,,,__trash_bin__,,6981004507,21
Insert filter definitions before this row
